Employee Name,Employee ID,Gender,Age,Tenure,Role,Department,Starting Salary,Current Salary,Location,Contract,Years of Experience,Average Monthly Working Hours,Months in Role,Promotion History,Last Performance Review Score,Start Date,End Date,Turnover
Ryan Johnson,4814,Female,64,11.7,Marketing Specialist,Marketing,95794,106116,Office-Based,Part-time,46,142,29,3,5,2013-05-10,,0
Nancy Phillips,2654,Male,29,3.2,Account Executive,Sales,63651,99959,Office-Based,Full-time,7,190,5,4,3,2021-11-15,,0
Deborah Brown,7227,Male,26,4.6,Marketing Manager,Marketing,90407,117239,Office-Based,Full-time,8,160,1,5,5,2020-06-22,,0
Todd Woods,5554,Female,51,15.0,Engineering Manager,IT,78521,90446,Office-Based,Full-time,20,184,9,5,5,2010-01-13,,0
James Davis,8428,Male,29,7.3,Marketing Specialist,Marketing,86486,101262,Office-Based,Part-time,9,156,9,2,5,2017-09-23,,0
Lindsay Levine,6977,Female,34,12.5,Engineering Manager,IT,59845,100112,Office-Based,Full-time,15,141,37,2,5,2012-07-20,,0
John Dyer,3664,Male,32,9.0,Director,IT,76937,79636,Office-Based,Full-time,14,125,19,3,5,2016-01-24,,0
Mark Rivers,7065,Female,63,10.1,Engineering Manager,IT,41984,74623,Office-Based,Full-time,37,158,8,5,4,2014-02-14,2024-03-29,1
David Williamson,6820,Female,41,9.1,Marketing Manager,Marketing,67238,98973,Office-Based,Full-time,10,138,17,2,4,2015-12-08,,0
Cody Williams,4432,Female,44,7.3,Software Engineer,IT,46958,67871,Remote,Full-time,19,177,11,5,4,2017-09-21,,0
Jason King,5374,Male,25,2.3,Sales Manager,Sales,96708,107174,Office-Based,Part-time,7,160,14,1,4,2021-09-23,2024-01-03,1
Erica Parker,2169,Male,53,0.1,Marketing Manager,Marketing,41518,47419,Office-Based,Full-time,32,150,1,1,4,2024-12-24,,0
Robert Vega,3803,Female,25,3.3,Software Engineer,IT,40535,47579,Office-Based,Full-time,7,166,2,3,5,2021-08-31,2024-12-31,1
Russell Smith,9751,Female,24,3.3,Marketing Specialist,Marketing,76256,95169,Remote,Full-time,6,190,1,2,4,2021-10-09,,0
Amanda Hardy,5010,Male,30,4.6,Software Engineer,IT,63960,113437,Remote,Full-time,10,171,7,3,5,2020-05-31,,0
Olivia Smith,3677,Male,24,4.7,Marketing Manager,Marketing,49760,89491,Office-Based,Full-time,6,198,5,5,4,2020-03-24,2024-11-24,1
Michael Donovan,8573,Female,61,11.8,Director,IT,73404,108291,Office-Based,Full-time,33,180,8,5,5,2013-04-20,,0
Linda Cook,7216,Female,43,3.8,Director,IT,98901,146435,Office-Based,Full-time,22,196,30,3,4,2021-04-06,,0
Steven Leon,5422,Male,25,3.6,Director,IT,84612,100484,Remote,Part-time,7,134,19,2,4,2021-06-10,,0
Wendy Adams,4598,Female,42,0.6,Marketing Manager,Marketing,72887,112960,Office-Based,Full-time,23,127,7,0,4,2024-06-11,,0
Elizabeth Anderson,6313,Male,57,10.1,Marketing Manager,Marketing,60562,71911,Office-Based,Full-time,26,189,28,5,4,2014-12-08,,0
Rhonda Sanders,1916,Female,61,0.9,Sales Manager,Sales,59504,78444,Office-Based,Full-time,18,182,1,1,4,2024-02-25,,0
Marcus Lin,4752,Female,57,9.2,Marketing Specialist,Marketing,47987,85570,Office-Based,Full-time,33,170,37,3,5,2015-11-18,,0
Logan Downs,1525,Male,40,6.1,Engineering Manager,IT,56806,105783,Office-Based,Full-time,18,188,5,4,4,2011-12-26,2018-02-10,1
Lisa Hoffman,6168,Female,30,10.9,Engineering Manager,IT,99322,134124,Remote,Full-time,11,132,37,1,4,2013-06-23,2024-05-22,1
Mrs. Shannon Rosales,7572,Female,28,8.4,Sales Manager,Sales,66667,109454,Office-Based,Full-time,9,181,14,5,5,2016-09-09,,0
Lance Buckley,5386,Female,42,1.4,Software Engineer,IT,88410,135800,Office-Based,Full-time,4,142,17,0,3,2020-09-17,2022-02-16,1
Michael Ramsey,2084,Male,24,5.3,Engineering Manager,IT,97166,116136,Office-Based,Full-time,6,192,37,2,5,2019-09-22,,0
Norma Grant,4456,Female,40,8.9,Marketing Manager,Marketing,98278,107072,Office-Based,Full-time,17,144,25,5,5,2016-03-14,,0
Sara Shaw,6155,Female,32,10.3,Account Executive,Sales,88274,110366,Office-Based,Full-time,13,144,17,2,4,2014-09-27,,0
Carla Buchanan,4483,Female,49,3.6,Sales Manager,Sales,49215,80505,Office-Based,Full-time,16,153,14,1,4,2021-06-19,,0
Dominique Jones,9179,Female,39,6.7,Account Executive,Sales,57141,99980,Office-Based,Full-time,16,135,27,5,4,2018-05-07,,0
Jennifer Washington,7482,Male,47,12.6,Marketing Specialist,Marketing,80280,94753,Remote,Full-time,16,139,27,3,4,2012-06-06,,0
Donna Alexander,8517,Female,48,2.0,Director,IT,56217,100803,Office-Based,Full-time,27,130,24,0,3,2023-01-16,,0
Cynthia Jackson,3340,Female,26,1.9,Software Engineer,IT,75170,84990,Remote,Full-time,2,176,22,0,1,2023-03-18,,0
Rebecca Mcknight,5339,Male,59,13.8,Marketing Manager,Marketing,48647,82283,Office-Based,Full-time,28,191,30,1,4,2011-04-06,,0
Christina Jackson,3287,Female,23,2.8,Software Engineer,IT,44786,47754,Office-Based,Full-time,5,189,34,0,5,2022-03-28,,0
Mathew Moss,5040,Male,52,2.4,Director,IT,82042,129836,Office-Based,Full-time,14,168,29,0,3,2021-02-28,2023-08-04,1
Larry Blair,9830,Female,46,4.2,Engineering Manager,IT,96379,119170,Remote,Part-time,22,170,3,2,5,2018-08-07,2022-10-01,1
Crystal Martinez,5304,Male,22,0.6,Software Engineer,IT,64856,79907,Remote,Full-time,4,155,2,1,4,2024-06-27,,0
Amy Howe,8019,Male,24,2.4,Sales Manager,Sales,44409,51021,Office-Based,Full-time,3,126,29,0,2,2022-08-18,,0
Chelsea Hoffman,7543,Male,47,3.2,Sales Manager,Sales,73023,91980,Remote,Part-time,10,193,31,1,4,2021-10-25,,0
Joe Rodriguez,6930,Female,37,2.5,Marketing Manager,Marketing,59693,77725,Remote,Part-time,19,142,30,0,3,2022-07-24,,0
Gary Smith,4593,Female,57,13.3,Director,IT,74371,95259,Office-Based,Full-time,34,158,16,4,4,2011-10-23,,0
Wayne Santiago,3266,Female,37,8.1,Account Executive,Sales,76856,103901,Office-Based,Full-time,11,137,34,4,4,2016-12-01,,0
Cheryl Garcia,9348,Female,35,12.4,Account Executive,Sales,75103,122589,Office-Based,Full-time,16,168,26,3,5,2012-08-22,,0
Jamie Brown,9085,Male,26,5.0,Sales Manager,Sales,71417,85106,Office-Based,Full-time,8,121,14,5,4,2018-12-08,2023-12-12,1
Kurt Fields,2489,Male,29,5.9,Engineering Manager,IT,53402,79395,Office-Based,Full-time,7,156,1,5,4,2019-02-25,,0
Timothy Graham,1771,Female,41,14.0,Account Executive,Sales,92613,139957,Office-Based,Full-time,22,146,37,4,4,2011-01-10,2025-01-11,1
Danielle Williams,2796,Female,24,0.2,Account Executive,Sales,57090,93351,Office-Based,Full-time,6,173,2,0,2,2024-11-12,,0
Christopher French,3504,Male,43,9.1,Software Engineer,IT,82900,127782,Office-Based,Full-time,17,182,12,4,5,2014-03-06,2023-03-31,1
Melissa Jenkins,3621,Female,51,0.6,Sales Manager,Sales,87206,123024,Office-Based,Part-time,23,189,7,0,5,2011-08-21,2012-03-24,1
Joshua Estrada,7916,Male,55,4.7,Director,IT,40418,67444,Remote,Full-time,9,128,37,1,5,2014-06-29,2019-02-27,1
Joy Logan,2040,Male,35,5.1,Engineering Manager,IT,83696,124100,Office-Based,Full-time,6,122,6,5,3,2019-12-03,,0
Randy Weber,7304,Female,22,2.6,Account Executive,Sales,72913,118647,Office-Based,Full-time,4,142,13,1,3,2021-07-05,2024-02-05,1
Jason Morris,7252,Male,55,1.9,Director,IT,63228,80747,Office-Based,Full-time,35,171,3,1,4,2012-08-30,2014-07-29,1
Mr. Joseph Thompson,8668,Male,36,0.9,Marketing Manager,Marketing,64855,89573,Office-Based,Full-time,2,121,10,0,4,2011-06-06,2012-04-29,1
Allison Graham,9669,Male,53,7.4,Software Engineer,IT,96227,102476,Office-Based,Part-time,33,149,13,3,4,2017-08-18,,0
Carolyn Liu,5119,Female,39,5.3,Software Engineer,IT,83129,85285,Remote,Full-time,14,122,30,5,5,2019-07-17,2024-11-08,1
Beth Stephens,1188,Male,47,14.4,Sales Manager,Sales,77138,102641,Office-Based,Full-time,17,169,37,5,5,2010-09-03,,0
Henry Schaefer,2876,Male,27,1.9,Marketing Manager,Marketing,55213,60194,Office-Based,Full-time,2,196,23,0,2,2023-02-15,,0
Rhonda Castillo,9797,Female,23,1.2,Sales Manager,Sales,63318,99561,Office-Based,Full-time,5,194,5,1,5,2023-10-28,,0
Karen Hanson,5371,Male,61,3.9,Marketing Specialist,Marketing,50107,75010,Office-Based,Full-time,8,169,37,1,4,2018-04-17,2022-03-19,1
Allen Moyer Jr.,6573,Male,27,1.1,Director,IT,57679,64378,Remote,Full-time,9,177,9,1,5,2021-09-04,2022-09-28,1
Angel Lewis,2827,Female,28,0.2,Software Engineer,IT,79193,100454,Office-Based,Full-time,9,172,2,0,2,2022-03-21,2022-05-25,1
Lance Murphy,5808,Male,57,4.7,Engineering Manager,IT,64951,76059,Remote,Full-time,38,183,37,2,3,2020-05-12,,0
Rick Fowler IV,8123,Male,49,8.6,Marketing Specialist,Marketing,56495,72655,Office-Based,Full-time,24,198,37,1,4,2010-03-16,2018-10-26,1
Michael Dixon,3591,Male,30,6.4,Marketing Manager,Marketing,92695,114291,Office-Based,Full-time,9,196,10,5,3,2018-08-29,,0
Bruce Sanchez,8433,Female,60,10.8,Sales Manager,Sales,66099,87014,Remote,Full-time,41,182,37,3,5,2014-04-01,,0
Amanda Gould,1053,Male,42,13.4,Software Engineer,IT,53094,91906,Office-Based,Full-time,19,190,37,1,3,2011-09-11,,0
Sean Garcia,5315,Female,35,14.2,Director,IT,95560,122373,Office-Based,Full-time,17,158,37,1,4,2010-11-08,,0
William Williams,9201,Male,49,14.8,Marketing Manager,Marketing,78157,104424,Office-Based,Part-time,29,173,12,5,5,2010-03-29,,0
Cindy Gross,3927,Female,56,6.0,Engineering Manager,IT,83561,106826,Remote,Full-time,13,192,25,2,5,2019-01-21,,0
Alex Carson,9317,Female,43,12.4,Account Executive,Sales,56956,71505,Office-Based,Full-time,14,194,37,1,5,2012-09-03,,0
Nicole May,2743,Male,50,4.6,Engineering Manager,IT,72798,82677,Office-Based,Full-time,29,133,11,5,4,2020-06-22,,0
Angela Williams,5889,Male,29,2.0,Marketing Specialist,Marketing,62483,92323,Office-Based,Full-time,5,164,15,1,4,2023-01-15,,0
Megan Jones,4258,Female,50,14.0,Account Executive,Sales,95651,118134,Office-Based,Full-time,16,141,37,1,5,2011-02-09,,0
Richard Johnson,7126,Male,55,0.1,Marketing Manager,Marketing,55194,81739,Office-Based,Full-time,22,175,1,1,4,2016-08-13,2016-10-02,1
Diana Morris,3646,Male,50,8.2,Sales Manager,Sales,58241,107545,Office-Based,Full-time,9,193,6,2,3,2016-11-17,,0
Christina Hopkins,9837,Male,45,1.1,Engineering Manager,IT,96533,128611,Office-Based,Full-time,5,196,5,1,4,2023-12-20,,0
Jeremiah Hebert,9689,Female,59,1.5,Director,IT,84144,130411,Office-Based,Part-time,31,195,18,0,1,2021-05-25,2022-11-23,1
Rebecca Hines MD,1009,Male,42,11.9,Marketing Specialist,Marketing,85445,94709,Office-Based,Full-time,13,137,1,2,5,2012-12-16,2024-11-22,1
Lauren Day,6310,Female,33,6.1,Sales Manager,Sales,72089,91018,Remote,Full-time,9,177,10,5,5,2019-01-02,,0
Melissa Melton,9005,Female,22,0.2,Marketing Manager,Marketing,84872,117097,Office-Based,Full-time,4,182,1,1,4,2024-11-28,,0
James Turner,1319,Male,36,1.0,Sales Manager,Sales,91166,121137,Office-Based,Full-time,9,183,5,1,5,2019-03-18,2020-03-09,1
Mark Orr,2832,Male,58,8.5,Director,IT,89596,92322,Office-Based,Full-time,32,147,6,5,5,2012-03-08,2020-09-23,1
Brian Guerrero,6947,Male,63,14.7,Marketing Manager,Marketing,57223,80067,Office-Based,Full-time,42,135,37,1,5,2010-05-24,,0
Sabrina Smith,6038,Male,35,8.5,Engineering Manager,IT,68060,78937,Office-Based,Full-time,14,146,22,5,5,2016-08-11,,0
Margaret Cook,4923,Female,56,0.2,Marketing Specialist,Marketing,77534,95054,Office-Based,Full-time,21,132,1,1,3,2021-10-26,2021-12-26,1
Edwin Jackson,1949,Female,25,3.8,Sales Manager,Sales,49584,96205,Office-Based,Full-time,5,170,24,2,4,2021-04-06,,0
Brandi Miller,4946,Female,62,2.7,Marketing Manager,Marketing,73791,122930,Remote,Part-time,7,167,33,0,3,2022-05-04,,0
Gina Jackson,2290,Female,42,4.6,Engineering Manager,IT,83525,129222,Office-Based,Full-time,7,188,10,4,4,2020-06-17,,0
Renee Bradley,2403,Female,35,5.4,Software Engineer,IT,77875,86433,Office-Based,Full-time,10,163,26,3,5,2019-09-11,,0
Elizabeth Brown,8962,Male,24,1.2,Account Executive,Sales,96207,106560,Office-Based,Full-time,5,174,14,0,2,2023-01-27,2024-04-08,1
William Smith,2133,Male,63,7.7,Marketing Specialist,Marketing,45401,69770,Office-Based,Full-time,13,126,10,3,4,2017-05-19,,0
Deborah Williams,9727,Female,36,12.3,Account Executive,Sales,53986,85234,Remote,Full-time,18,186,37,1,5,2012-10-14,,0
Kathleen Mendez,3060,Male,22,1.4,Marketing Manager,Marketing,44641,59645,Office-Based,Full-time,3,133,16,0,1,2023-09-04,,0
Angela Hernandez,3103,Female,41,1.4,Account Executive,Sales,74767,111682,Remote,Full-time,22,176,16,0,2,2018-03-27,2019-08-15,1
Timothy Wilson,8787,Male,62,11.7,Account Executive,Sales,98759,105343,Remote,Full-time,40,169,32,2,4,2013-05-03,,0
Sharon Gardner,3705,Female,42,11.2,Sales Manager,Sales,76267,115654,Office-Based,Full-time,16,123,37,1,5,2013-10-25,,0
David Logan,5342,Female,35,11.0,Marketing Specialist,Marketing,82347,85923,Office-Based,Full-time,13,150,16,4,4,2014-01-15,,0
Eric Brady,9645,Male,37,12.0,Marketing Specialist,Marketing,60740,69389,Office-Based,Full-time,17,173,37,1,4,2013-01-22,,0
Victoria Mendoza,7932,Male,52,2.9,Account Executive,Sales,57182,71320,Remote,Full-time,4,170,34,0,3,2022-03-18,,0
Scott Griffin,4470,Female,49,10.5,Software Engineer,IT,80373,90379,Remote,Full-time,31,185,31,5,5,2014-08-09,,0
Kenneth Davis,9835,Male,56,8.9,Marketing Specialist,Marketing,85788,114459,Office-Based,Full-time,29,127,37,1,4,2016-02-15,,0
Peter Vasquez,4295,Female,29,4.8,Engineering Manager,IT,88607,131733,Office-Based,Full-time,5,137,15,3,5,2020-04-16,,0
Christopher Logan,6107,Male,53,12.1,Sales Manager,Sales,64370,72688,Office-Based,Full-time,29,135,33,3,5,2012-12-15,,0
Kathleen Martinez,7537,Male,43,3.2,Marketing Specialist,Marketing,86682,124473,Office-Based,Full-time,20,185,13,1,4,2021-10-24,,0
Katherine Pearson,7118,Female,58,0.1,Software Engineer,IT,84179,131547,Remote,Full-time,17,120,1,0,1,2024-11-06,2024-12-19,1
Jo Barker,8177,Male,37,2.6,Sales Manager,Sales,96196,98513,Office-Based,Part-time,15,173,31,0,2,2022-01-20,2024-08-14,1
Reginald Mitchell,9479,Male,48,11.8,Software Engineer,IT,64432,72257,Office-Based,Part-time,20,142,37,1,4,2013-04-03,,0
Alicia Clark,8397,Male,47,1.6,Director,IT,95367,115728,Office-Based,Full-time,29,121,5,1,4,2010-12-14,2012-07-16,1
Miguel Smith,2982,Female,58,3.0,Software Engineer,IT,72332,85139,Office-Based,Full-time,33,151,20,1,3,2022-02-07,,0
Kathy Williams,5061,Female,23,0.5,Account Executive,Sales,89737,132814,Office-Based,Full-time,1,159,3,1,3,2024-03-11,2024-08-30,1
Nicole Barnett,4681,Male,48,7.1,Account Executive,Sales,42877,58046,Office-Based,Full-time,12,167,6,3,4,2017-12-26,,0
Carolyn Foster,2049,Male,59,3.4,Software Engineer,IT,77212,81293,Office-Based,Part-time,29,150,37,1,4,2013-03-29,2016-09-09,1
Brenda Mills,6539,Female,47,14.2,Marketing Specialist,Marketing,55309,60203,Office-Based,Full-time,20,194,3,4,3,2010-11-07,,0
Alison Vazquez,1344,Male,32,11.1,Software Engineer,IT,63480,77087,Office-Based,Full-time,13,135,37,1,3,2013-12-17,,0
Charles Webster,4770,Female,60,2.8,Engineering Manager,IT,56267,79580,Office-Based,Full-time,12,158,34,0,2,2017-05-20,2020-03-15,1
Stephen Watson,4608,Male,23,1.4,Marketing Manager,Marketing,46678,55839,Remote,Full-time,3,148,16,0,1,2023-09-09,,0
Alec Wheeler,1117,Female,45,2.2,Director,IT,44914,46342,Office-Based,Full-time,5,176,12,1,5,2022-11-04,,0
Christine Bird,2163,Male,43,2.7,Software Engineer,IT,68387,115863,Office-Based,Full-time,4,174,33,0,1,2017-07-18,2020-04-09,1
Tara Wright,1964,Male,33,0.9,Account Executive,Sales,80246,120824,Office-Based,Full-time,15,183,11,0,3,2016-05-10,2017-04-09,1
Brandon Neal,4750,Female,25,0.3,Sales Manager,Sales,82116,116575,Remote,Part-time,2,189,3,1,5,2024-08-09,2024-12-12,1
Christine Edwards,2104,Female,44,5.1,Software Engineer,IT,72924,94000,Office-Based,Full-time,21,160,18,3,5,2019-12-21,,0
Sara Navarro,1514,Male,39,10.2,Director,IT,78272,93526,Office-Based,Full-time,19,150,37,3,4,2011-11-24,2022-02-22,1
Nicole Smith,6413,Male,36,9.8,Director,IT,95392,106776,Remote,Full-time,16,165,37,3,5,2015-04-18,,0
Brittney Gould,2160,Male,44,12.3,Sales Manager,Sales,94833,127091,Office-Based,Full-time,15,124,13,5,3,2012-10-19,,0
Shannon Johnson,9423,Male,60,7.2,Marketing Specialist,Marketing,80247,93450,Office-Based,Full-time,38,142,37,1,5,2017-04-24,2024-06-27,1
Tina Moody,4899,Female,25,0.4,Director,IT,74491,98404,Office-Based,Full-time,7,170,4,0,3,2023-06-06,2023-10-21,1
Carlos Martin,5562,Female,41,7.0,Engineering Manager,IT,60793,72209,Office-Based,Full-time,21,198,1,4,5,2018-01-30,,0
Cody Hill,8953,Male,64,3.8,Engineering Manager,IT,85121,104422,Remote,Full-time,28,193,7,3,4,2021-04-24,,0
Sheena Braun,4510,Male,33,7.7,Account Executive,Sales,72517,81734,Office-Based,Full-time,11,164,12,5,5,2017-04-26,,0
Richard Hill,9834,Male,62,10.2,Account Executive,Sales,57380,71121,Remote,Full-time,32,152,37,4,5,2014-11-24,,0
Patrick Santiago,3167,Male,25,6.7,Marketing Manager,Marketing,97787,122606,Office-Based,Full-time,7,181,1,4,5,2018-04-26,,0
Richard Reed,8744,Male,32,3.1,Marketing Specialist,Marketing,57113,63976,Remote,Full-time,8,168,11,1,3,2021-12-20,,0
Amy Kent,4981,Male,57,13.9,Software Engineer,IT,98538,130174,Office-Based,Full-time,24,141,37,5,5,2011-03-17,,0
Troy Chavez,8749,Female,32,3.5,Marketing Manager,Marketing,85691,122005,Office-Based,Full-time,7,153,26,2,5,2020-03-18,2023-09-11,1
James Miller,7669,Female,37,1.3,Sales Manager,Sales,43572,67219,Remote,Full-time,19,200,5,1,5,2022-05-05,2023-08-30,1
Sabrina Davis,4119,Male,28,3.0,Account Executive,Sales,71035,78604,Office-Based,Full-time,9,182,34,1,5,2017-01-05,2020-01-12,1
Ronald Hawkins,2545,Female,27,6.3,Marketing Manager,Marketing,64209,76436,Office-Based,Full-time,7,179,37,3,4,2018-10-23,,0
Angela Robinson,2588,Female,58,1.3,Engineering Manager,IT,62530,98014,Office-Based,Full-time,8,149,15,0,3,2023-06-08,2024-09-08,1
Emily Harris,8062,Female,55,6.5,Software Engineer,IT,97780,113223,Office-Based,Full-time,28,124,21,4,5,2018-07-16,,0
Christopher Woods,6804,Male,29,9.7,Sales Manager,Sales,92983,105613,Remote,Full-time,10,175,6,2,4,2015-05-30,,0
Kimberly Oliver,7939,Male,60,2.4,Marketing Manager,Marketing,76461,102502,Office-Based,Full-time,7,186,29,0,3,2016-03-05,2018-08-09,1
Mallory Cantrell,7735,Male,61,14.0,Sales Manager,Sales,49712,86844,Office-Based,Full-time,18,132,37,4,5,2011-01-26,,0
